60.00        -1.000        0.12559E-02     0.0000    
60.00       -0.9500        0.12597E-02   -0.16248E-01
60.00       -0.9000        0.12638E-02   -0.22566E-01
60.00       -0.8500        0.12679E-02   -0.27129E-01
60.00       -0.8000        0.12722E-02   -0.30736E-01
60.00       -0.7500        0.12766E-02   -0.33700E-01
60.00       -0.7000        0.12812E-02   -0.36185E-01
60.00       -0.6500        0.12859E-02   -0.38290E-01
60.00       -0.6000        0.12907E-02   -0.40079E-01
60.00       -0.5500        0.12957E-02   -0.41599E-01
60.00       -0.5000        0.13007E-02   -0.42883E-01
60.00       -0.4500        0.13060E-02   -0.43956E-01
60.00       -0.4000        0.13114E-02   -0.44839E-01
60.00       -0.3500        0.13169E-02   -0.45547E-01
60.00       -0.3000        0.13225E-02   -0.46093E-01
60.00       -0.2500        0.13283E-02   -0.46489E-01
60.00       -0.2000        0.13342E-02   -0.46742E-01
60.00       -0.1500        0.13402E-02   -0.46860E-01
60.00       -0.1000        0.13464E-02   -0.46848E-01
60.00       -0.5000E-01    0.13527E-02   -0.46712E-01
60.00         0.000        0.13592E-02   -0.46455E-01
60.00        0.5000E-01    0.13658E-02   -0.46080E-01
60.00        0.1000        0.13725E-02   -0.45590E-01
60.00        0.1500        0.13793E-02   -0.44985E-01
60.00        0.2000        0.13863E-02   -0.44266E-01
60.00        0.2500        0.13935E-02   -0.43432E-01
60.00        0.3000        0.14007E-02   -0.42482E-01
60.00        0.3500        0.14081E-02   -0.41413E-01
60.00        0.4000        0.14157E-02   -0.40221E-01
60.00        0.4500        0.14233E-02   -0.38900E-01
60.00        0.5000        0.14311E-02   -0.37441E-01
60.00        0.5500        0.14391E-02   -0.35834E-01
60.00        0.6000        0.14471E-02   -0.34063E-01
60.00        0.6500        0.14554E-02   -0.32109E-01
60.00        0.7000        0.14637E-02   -0.29940E-01
60.00        0.7500        0.14722E-02   -0.27513E-01
60.00        0.8000        0.14808E-02   -0.24761E-01
60.00        0.8500        0.14896E-02   -0.21567E-01
60.00        0.9000        0.14984E-02   -0.17703E-01
60.00        0.9500        0.15075E-02   -0.12579E-01
60.00         1.000        0.15166E-02     0.0000    
70.00        -1.000        0.95485E-03     0.0000    
70.00       -0.9500        0.97865E-03   -0.66825E-02
70.00       -0.9000        0.10028E-02   -0.89762E-02
70.00       -0.8500        0.10273E-02   -0.10439E-01
70.00       -0.8000        0.10521E-02   -0.11442E-01
70.00       -0.7500        0.10772E-02   -0.12138E-01
70.00       -0.7000        0.11027E-02   -0.12612E-01
70.00       -0.6500        0.11285E-02   -0.12916E-01
70.00       -0.6000        0.11547E-02   -0.13085E-01
70.00       -0.5500        0.11812E-02   -0.13146E-01
70.00       -0.5000        0.12080E-02   -0.13119E-01
70.00       -0.4500        0.12352E-02   -0.13017E-01
70.00       -0.4000        0.12627E-02   -0.12855E-01
70.00       -0.3500        0.12905E-02   -0.12642E-01
70.00       -0.3000        0.13187E-02   -0.12387E-01
70.00       -0.2500        0.13472E-02   -0.12095E-01
70.00       -0.2000        0.13760E-02   -0.11774E-01
70.00       -0.1500        0.14052E-02   -0.11427E-01
70.00       -0.1000        0.14347E-02   -0.11059E-01
70.00       -0.5000E-01    0.14646E-02   -0.10674E-01
70.00         0.000        0.14948E-02   -0.10275E-01
70.00        0.5000E-01    0.15253E-02   -0.98643E-02
70.00        0.1000        0.15562E-02   -0.94442E-02
70.00        0.1500        0.15874E-02   -0.90169E-02
70.00        0.2000        0.16189E-02   -0.85838E-02
70.00        0.2500        0.16508E-02   -0.81464E-02
70.00        0.3000        0.16830E-02   -0.77058E-02
70.00        0.3500        0.17156E-02   -0.72628E-02
70.00        0.4000        0.17485E-02   -0.68182E-02
70.00        0.4500        0.17817E-02   -0.63722E-02
70.00        0.5000        0.18152E-02   -0.59251E-02
70.00        0.5500        0.18491E-02   -0.54764E-02
70.00        0.6000        0.18834E-02   -0.50256E-02
70.00        0.6500        0.19179E-02   -0.45714E-02
70.00        0.7000        0.19528E-02   -0.41117E-02
70.00        0.7500        0.19881E-02   -0.36429E-02
70.00        0.8000        0.20237E-02   -0.31593E-02
70.00        0.8500        0.20596E-02   -0.26502E-02
70.00        0.9000        0.20958E-02   -0.20938E-02
70.00        0.9500        0.21324E-02   -0.14311E-02
70.00         1.000        0.21694E-02     0.0000    
80.00        -1.000        0.74788E-03     0.0000    
80.00       -0.9500        0.78362E-03   -0.18543E-01
80.00       -0.9000        0.82038E-03   -0.24266E-01
80.00       -0.8500        0.85817E-03   -0.27503E-01
